energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,proteins_value,salt_value,sodium_value,energy_value,off:nutriscore_score,off:ecoscore_score,cluster,code
462.0,19.0,2.0,57.0,12.0,8.5,0.0,0.0,1913.0,-2.0,66.0,2,3168930010265
362.0,7.1,1.3,58.0,1.7,11.0,0.02,0.008,2781.0,-1.0,87.0,2,3229820019307
372.0,7.0,1.3,58.7,0.7,13.5,0.025,0.01,1566.0,-5.0,76.0,2,20003166
40.0,1.5,0.2,5.6,0.0,0.2,0.09,0.036,169.0,-1.0,62.0,4,5411188124689
357.0,6.0,0.8,60.0,14.0,11.0,10.0,4.0,1506.0,-3.0,79.0,2,3229820782560
362.0,2.0,0.6,69.0,4.2,12.0,0.28,0.112,1531.0,-5.0,39.0,2,5010029000023
375.0,8.0,1.5,60.0,1.1,11.0,0.01,0.004,1570.0,-5.0,76.0,2,3168930009078
352.0,5.8,0.9,59.0,14.0,11.0,0.03,0.012,1485.0,-3.0,79.0,2,3229820129488
388.0,4.8,2.0,73.6,22.4,8.8,0.22,0.088,1638.0,-1.0,25.0,0,7613034947611
375.0,7.0,1.3,59.0,0.7,14.0,0.02,0.008,1580.0,-5.0,85.0,2,4008713756661
378.0,0.9,0.2,84.0,8.0,7.0,1.1,0.44,1604.0,2.0,29.0,2,3159470000120
362.0,2.0,0.6,69.0,4.2,12.0,0.28,0.112,1531.0,-5.0,38.0,2,5010029000801
362.0,7.2,2.0,59.6,17.2,10.2,0.03,0.012,1523.0,-2.0,73.0,2,5010477348678
359.0,2.0,0.5,71.0,3.5,13.0,0.01,0.004,1521.0,-4.0,45.5032693093584,2,8076800195057
148.4,2.68,0.44,23.8,0.32,5.28,6.061229070705468,2.4244916282821873,621.0,2.9960358497069977,100.0,4,40897677
455.0,19.0,4.9,57.0,16.0,8.1,0.48,0.192,1906.0,9.0,25.0,0,3168930010906
397.0,10.0,4.2,61.0,9.1,11.0,0.075,0.03,1670.0,0.0,79.0,2,3229820769165
420.0,11.0,1.8,62.0,13.0,11.0,0.24,0.096,1757.0,-1.0,61.0,2,3168930009795
347.0,2.5,0.5,64.0,3.5,13.0,0.01,0.004,1466.0,-6.0,82.0,2,8076809529433
359.0,2.0,0.5,71.0,3.5,13.0,0.01,0.004,1521.0,-4.0,45.5032693093584,2,8076802085738
374.0,8.0,1.5,60.0,1.1,11.0,0.0,0.0,374.0,-5.0,76.0,2,5000108022152
334.0,3.5,0.7,48.0,18.0,14.0,0.95,0.38,1400.0,6.0,40.0,2,3159470001424
382.0,2.7,1.0,80.0,27.0,7.5,0.5,0.2,1619.0,7.0,19.0,0,5010029227062
390.0,5.8,1.0,66.0,4.6,13.0,0.2,0.08,1645.0,-5.0,29.0,2,8480000156112
373.0,8.4,2.8,60.7,18.9,9.3,0.03,0.012,1569.0,0.0,79.0,2,5010477348630
347.0,2.5,0.5,64.0,3.5,13.0,0.01,0.004,1466.0,-6.0,45.5032693093584,2,8076809529419
363.0,6.6,1.2,59.0,1.1,12.0,0.0,0.0,1530.0,-5.0,75.0,2,3560070614202
377.0,2.8,1.1,75.2,22.4,8.5,0.22,0.088,1595.0,-1.0,34.0,2,7613035144699
373.0,1.5,0.4,77.5,10.8,8.9,0.41,0.164,1578.0,-3.0,40.0,2,20621469
47.0,0.7,0.1,8.2,4.8,1.6,0.03,0.012,194.0,1.0,63.0,4,8423352861402
489.0,23.0,13.0,61.0,28.0,6.4,0.01,0.004,2048.0,22.0,69.0,0,20116705
373.0,1.1,0.4,82.0,0.9,6.7,1.0,0.4,373.0,0.0,25.0,2,8480000229663
378.0,0.9,0.2,84.0,8.0,7.0,1.13,0.452,1604.0,3.0,25.0,2,8410188012092
57.0,2.8,0.3,6.6,4.1,1.0,0.1,0.04,239.0,0.0,64.0,4,7394376665035
383.0,1.4,0.2,85.0,0.2,7.0,0.31,0.124,1623.0,1.0,63.0,2,4334035071848
497.0,25.0,12.0,57.0,21.0,8.0,0.68,0.272,2076.0,18.0,15.0,0,3159470005071
395.0,5.2,0.9,78.0,22.4,6.7,0.66,0.264,1659.0,1.0,42.0,0,3387390326574
200.0,1.7,0.5,36.0,3.2,5.3,1.2,0.48,843.0,-1.0,79.0,4,20507350
40.0,1.5,0.2,5.6,0.0,0.2,0.09,0.036,167.0,-1.0,68.0,4,5411188124702
434.0,14.3,7.3,67.1,25.0,6.2,0.6,0.24,1822.0,14.0,55.0,0,4056489209980
362.0,6.0,2.5,61.0,10.0,11.0,0.02,0.008,1526.0,-2.0,79.0,2,3229820116716
